"index","Country Name","Country Code","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"0","Afghanistan","AFG","..","0.00472257","0.0045614","0.0878913","0.105809","1.22415","2.10712","1.9","1.84","3.55","4","5","5.45455","5.9","7","8.26","11","13.5","16.8","17.6","18.4","..","..",".."
"1","Albania","ALB","0.114097","0.325798","0.390081","0.9719","2.42039","6.04389","9.60999","15.0361","23.86","41.2","45","47","49.4","51.8","54.3","56.9","59.6","62.4","65.4","68.5504","72.2377","79.3237","82.6137","83.1356"
"2","Algeria","DZA","0.491706","0.646114","1.59164","2.19536","4.63448","5.84394","7.37598","9.45119","10.18","11.23","12.5","14.9","18.2","22.5","29.5","38.2","42.9455","47.6911","49.0385","58.9776","60.6534","66.2356","71.2432",".."
"3","American Samoa","ASM","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"4","Andorra","AND","10.5388","..","11.2605","13.5464","26.838","37.6058","48.9368","70.87","70.04","78.53","81","81","82.7","84.4","86.1","87.9","89.7","91.5675","..","90.7187","93.2056","93.8975","94.4855",".."
"5","Angola","AGO","0.105046","0.136014","0.270377","0.370682","0.464815","1.14337","1.5","1.7","1.9","2.3","2.8","4.7","7.7","13","21.3623","22","23.2","26","29","32.1294","36.6347","37.8067","39.2935",".."
"6","Antigua and Barbuda","ATG","6.48223","8.89929","12.5","17.2286","24.2665","27","30","34","38","42","47","52","58","63.4","67.78","70","73","76.2","79.6","83.2","86.8837","87.074","91.4123",".."
"7","Argentina","ARG","7.03868","9.78081","10.8821","11.9137","16.0367","17.7206","20.9272","25.9466","28.1126","34","45","51","55.8","59.9","64.7","68.0431","70.969","74.2949","77.7","79.947","85.5144","87.1507","88.3754","89.229"
"8","Armenia","ARM","1.30047","1.63109","1.96041","4.57522","4.89901","5.25298","5.63179","6.02125","6.21","15.3","25","32","37.5","41.9","54.6228","59.1008","64.346","64.7449","68.2451","66.5439","76.5077","78.6123","77.0277",".."
"9","Aruba","ABW","15.4428","17.1","18.8","20.8","23","25.4","28","30.9","52","58","62","69","74","78.9","83.78","88.6612","93.5425","97.17","..","..","..","..","..",".."